Airdate,Animation,Animation Supervisor,Copyright year,Creative,Episode №,Guest(s),Line Producer,Main,Next,Previous,Production code,Running time,Season №,Sister episode(s),Storyboard,Storyboard Artist(s),Supervising,Supervising Producer(s),Technical,U.S. premiere time (ET),U.S. viewers (millions),Writer(s),characters,title
"November 4, 2018","['Alan Smart', 'Tom Yasumi']",,2018,,238b,Jordan Speer as special guest designer,,,"""The Grill is Gone""","""Appointment TV""",325-1112,11 minutes,11,"""Appointment TV""",,Fred Osmond,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.20,Kaz,"SpongeBob SquarePants, Off Model SpongeBob, Squidward Tentacles, Gnarly Squid, Eugene H. Krabs, Money Krabs, Sheldon J. Plankton, Ideal Plankton, Karen Plankton, Virus, Female hick, Hanna, Robot SpongeBob, Plankton's cousins, Old Man Jenkins, Granny Plankton, King Neptune, Incidentals, Incidental 69, Incidental 68, Incidental 48, Incidental 41, Incidental 67, Incidental 37B, Fred, Incidental 82, ""HB"" incidentals, Incidental HB1, Incidental HB2, Incidental HB3, Incidental HB4, Incidental HB5, Incidental HB6",Karen's Virus
"October 21, 2018",Alan Smart,,2018,,239a,,,,"""The Night Patty""","""Karen's Virus""",325-1148,"10 minutes, 54 seconds",11,"""The Night Patty""",,Fred Osmond,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,1.37,Andrew Goodman,"SpongeBob SquarePants, SpongeBob's heart, Squidward Tentacles, Eugene H. Krabs, Incidentals, Frank, Fred, Incidental 36, Incidental 13, Incidental 107, Incidental 115, Incidental 7, Billy, Sandals, Incidental 164, Incidental 171, Incidental 183, Incidental 184, Incidental 37B, Incidental 47, Incidental 41, Incidental 181, Incidental 182, Incidental 93, Sheldon J. Plankton, Unnamed purple worm, Bubble Bass, French Narrator",The Grill is Gone
"October 21, 2018",Bob Jaques,,2018,,239b,Alexander Ward as Nosferatu,,,"""Bubbletown""","""The Grill is Gone""",325-1150,"10 minutes, 52 seconds",11,"""The Grill is Gone""",,Kelly Armstrong,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.37,Luke Brookshier,"SpongeBob SquarePants, Patrick Star, Eugene H. Krabs, French Narrator, Nosferatu, The Fisherman, Spongy Spongy, Heart man, Trench monsters, Sandy's robot, Incidentals, Incidental 200, Incidental 201, Chuck, Incidental 204, Incidental 206, Incidental 207, Incidental 210, Bert, Incidental 212, Incidental 213, Incidental 214, Incidental 222, Jennifer, Nipples guy, Antenna fish, Chunky fish, Phyllosoma, Snipe eel, Multi-eyed fish, Goblin shark guy, Three eyed anglerfish, Surprise fish, Monster anglerfish, Organism, Slug lady, Flat fish, Egg fish, Spiky fin fish, Barreleye fish, Deep red jellyfish, Immortal jellyfish, Comb jelly, Pink see-through fantasia, Sucker, Invisible Stan, Squidabeth, Maitre D., Barry Blobfish",The Night Patty
"October 28, 2018","['Alan Smart', 'Tom Yasumi']",,2018,,240a,,,,"""Girls' Night Out""","""The Night Patty""",325-1113,"10 minutes, 49 seconds",11,"""Girls' Night Out""",,John Trabbic,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,1.25,"['Andrew Goodman', 'John Trabbic']","SpongeBob SquarePants, Bubble Buddy, Adorable bubble child, Eugene H. Krabs, Squidward Tentacles, French Narrator, Dirty Bubble, Duck bubble, Incidentals, Old Man Walker, Sandals, Mary, Incidental 48, Incidental 103, Billy, Incidental 107, Incidental 40, Fred, Incidental 41, Incidental 105, Carol, Incidental 49, Incidental 46, Incidental 63",Bubbletown
"November 4, 2018",Bob Jaques,,2018,,240b,,,,"""Squirrel Jelly""","""Bubbletown""",325-1158,"10 minutes, 42 seconds",11,"""Bubbletown""",,Brian Morante,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,1.20,Doug Lawrence,"SpongeBob SquarePants, Gal Pals, Karen Plankton, Sandy Cheeks, Mrs. Puff, Eugene H. Krabs, Sheldon J. Plankton, Incidentals, Incidental 154, Fred, Incidental 12, Incidental 153, Incidental 36, Incidental 151, Incidental 49, Incidental 103, Incidental 13, Incidental 42, Old Man Walker, Incidental 92, Dale, Incidental 150, Incidental 106, Incidental 152, Incidental 2, Incidental 45, Scooter, Sandals, Banana",Girls' Night Out
"November 18, 2018",Tom Yasumi,,2018,,241a,,,,"""The String""","""Girls' Night Out""","['325-1137', '325-1155']","16 minutes, 9 seconds",11,"""The String""",,Brian Morante,"['Sherm Cohen', 'Adam Paloian (uncredited)']","['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.38,"['Zeus Cervas', 'Kaz']","SpongeBob SquarePants, Patrick Star, Sandy Cheeks, Super Sandy, Squidward Tentacles, Eugene H. Krabs, Pearl Krabs, Jellyfish, Friend, Jelly buzz-saws, Giant jellyfish, Larry the Lobster, Incidentals, Incidental 103, Incidental 102, Incidental 150, Incidental 151, Scooter, Incidental 16, Incidental 13, Incidental 46, Incidental 36, Incidental 24, Charlie, Incidental 31, Incidental 6, Incidental 37A, Incidental 27, Incidental 10, Incidental 37B, Incidental 106",Squirrel Jelly
"November 18, 2018","['Alan Smart', 'Tom Yasumi']",,2018,,241b,Mike Bell as Fisherman,,,"""FarmerBob""","""Squirrel Jelly""","['325-1215 (formerly)', '325-1159']","5 minutes, 46 seconds",11,"""Squirrel Jelly""",,Fred Osmond,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,11:20 am,1.38,"['Luke Brookshier (uncredited)', 'Fred Osmond']","SpongeBob SquarePants, Squidward Tentacles, Incidentals, Fred, Incidental 49, Incidental 37B, Harris, Billy, Incidental 151, Incidental 34, Sea monkey, Man inc hat, Unknown incidental 7, Rich patron, Eugene H. Krabs, Sandy Cheeks, Pearl Krabs, Bubble Bass, Fisherman, Mike Bell, Taxi driver, Patrick Star",The String
"November 11, 2018",Alan Smart,,2018,,242a,John Gegenhuber as Old Man Jenkins and Cute Hog,,,"""Gary &amp; Spot""","""The String""",325-1202,"10 minutes, 55 seconds",12,"""Gary &amp; Spot""",John Trabbic,,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,1.40,Luke Brookshier,"SpongeBob SquarePants, Patrick Star, Old Man Jenkins, Eugene H. Krabs, Old Man Jenkins' barn, Ol' Bessy, Jellybee, Worm hogs, Clams, Old Man Jenkins' house, Farmer aliens",FarmerBob
"March 16, 2019",Andrew Overtoom,,2018,,242b,,,,"""The Nitwitting""","""FarmerBob""",325-1201,"10 minutes, 58 seconds",12,"""FarmerBob""",Brian Morante,,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,1.21,Andrew Goodman,"Sandy Cheeks, SpongeBob SquarePants, Gary the Snail, Spot, Patrick Star, Squidward Tentacles, Eugene H. Krabs, Sheldon J. Plankton, Karen Plankton, Marvin, Alice Wilson, Mystery the Seahorse, JK, Bully snail, Larry the Snail, Unknown purebred snail, Sea urchin, Sea bear, Incidentals, Fred, Incidental 30, Incidental 34, Incidental 37B, Incidental 42MINISTER, Incidental 46, Mr. Doodles, Incidental 104, Incidental 159, Snail 13, Unknown ""Snail"" 9, Unknown ""Snail"" 13, Puffy Fluff 2, Brian Morante caricature fish",Gary & Spot
"January 13, 2019",Tom Yasumi,,2018,,243a,Peter Browngardt as Ice Cream King,,,"""The Ballad of Filthy Muck""","""Gary &amp; Spot""",325-1206,"10 minutes, 59 seconds",12,"""The Ballad of Filthy Muck""",Kelly Armstrong,,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.05,Kaz,"SpongeBob SquarePants, Patrick Star, Incidentals, Incidental 1ISH, Steven, John, Incidental 6, Incidental 12, Incidental 14, Dodo, Carol, Charlie, Incidental 27, Incidental 30s, Incidental 30A, Incidental 36, Incidental 37A, Incidental 37B, Scooter, Incidental 39, Incidental 40, Incidental 42, Incidental 45, Incidental 46, Incidental 48, Incidental 49, Incidental 67, Incidental 69, Harris, Incidental 82, Old Man Walker, Incidental 90, Incidental 92, Incidental 93, Incidental 105, Incidental 106, Incidental 107, Lennys, Incidental FG3, ""EHS"" incidentals, Incidental EHS1, Incidental EHS2, Incidental EHS3, Incidental EHS4, Incidental EHS5, Incidental EHS6, Incidental EHS7, Incidental EHS8, Incidental EHS9, Incidental EHS10, Incidental EHS11, Incidental EHS12, Incidental EHS13, Incidental EHS14, Incidental EHS15, Incidental EHS16, Unknown ""EHS"" 1, F.E.M.A., Sandy Cheeks, DoodleBob, Man Ray, Squidward Tentacles, Larry the Lobster, Gary the Snail, trash inspectors, R.A. PennyPincher, Ice Cream King, Little idiot",The Nitwitting
"January 20, 2019",Alan Smart,,2018,,243b,"Fred Tatasciore, singer of the Filthy Muck song",,,"""The Krusty Slammer""","""The Nitwitting""",325-1211,"10 minutes, 54 seconds",12,"""The Nitwitting""",Fred Osmond,,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,0.95,"['Kaz', 'Vincent Waller (additional writing)', 'Marc Ceccarelli (additional writing)', 'Doug Lawrence (additional writing)', 'Andrew Goodman (additional writing)', 'Luke Brookshier (additional writing)']","SpongeBob SquarePants, Patrick Star, Filthy Muck, Eugene H. Krabs, Squidward Tentacles, Mrs. Puff, Old Man Jenkins, Jellyfish, French Narrator, Rube Goldfish, Administrator Flotsam, Sprat Morty, Lady Upturn, Incidentals, Fred, Incidental 41, Steven, Charlie, Musician 3, Incidental 41, Incidental 36, Incidental 49, Incidental 31, Incidental 45, Incidental 37B, Incidental 64, Carol, Sandals, Incidental 24, Incidental 14, Incidental 151, Incidental 65, Incidental 9, Incidental 8, Incidental 118C, Incidental 104, Incidental 105, King Neptune",The Ballad of Filthy Muck
"January 27, 2019",Andrew Overtoom,,2018,,244a,,,,"""Pineapple RV""","""The Ballad of Filthy Muck""",325-1207,"10 minutes, 51 seconds",12,"""Pineapple RV""",John Trabbic,,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.24,Andrew Goodman,"SpongeBob SquarePants, Eugene H. Krabs, Squidward Tentacles, Sheldon J. Plankton, Mermaid Man, Barnacle Boy, French Narrator, Tattletale Strangler, Popeye fish, Sticky Fins Whiting, Dorsal Dan, Prisoner 2, Prisoner 6, Incidentals, Incidental 65, Incidental 103, Incidental 2, Incidental 151, Incidental 7, Incidental 9, Incidental 46, Incidental 152, Incidental 45, Incidental 67, Incidental 63, Incidental 91, Incidental 153, Incidental 115, Incidental 92, Incidental 49, Dale, Incidental 60, Incidental 40, Incidental 48, Incidental 64, Incidental 107, Incidental 41, Old Man Walker, Incidental 104, Harris, Sandals, Incidental 118D, Fred, Incidental 118A, Incidental 37B, Incidental 105, BusinessFish 50, Incidental 30A, Incidental 95, Incidental 118C, Musician 3, Incidental 150, Incidental 47, Incidental 6, Incidental 16, Incidental 68, Incidental 73KID, Shelley",The Krusty Slammer
"May 3, 2020",Tom Yasumi,,2018,,244b,,,,"""Gary's Got Legs""","""The Krusty Slammer""",325-1216,"10 minutes, 54 seconds",12,"""The Krusty Slammer""",Brian Morante,,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,7:15 pm,0.73,Luke Brookshier,"SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Gary the Snail, Eugene H. Krabs, Sea bear, Rube Goldfish, Incidentals, Old Man Walker, Incidental 31, Incidental 157, Incidental 48, Incidental 11, Tom, Incidental 67, Incidental 30, Incidental 24, Incidental 36, Incidental 14, Incidental 107, Incidental 42, Carol, Tuck Tucker, Incidental 103, Incidental 49, Incidental 153, Incidental 27, Incidental 106, Incidental 46, Incidental 64, Incidental 41, Incidental 8, Frank, Incidental 110, Incidental 105, John, Scooter",Pineapple RV
"July 27, 2019",Andrew Overtoom,,2019[note 1],,245a,,,,"""King Plankton""","""Pineapple RV""",325-1221,"10 minutes, 54 seconds",12,"""King Plankton""",Fred Osmond,,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.21,Luke Brookshier,"SpongeBob SquarePants, French Narrator, Patrick Star, Gary the Snail, Squidward Tentacles, Eugene H. Krabs, Octavius Rex, Lady Upturn, Lady Upturn's snail, Incidentals, Incidental 36, Incidental 45, Charlie, Incidental 64, Incidental 107, Incidental 14, Incidental 186, Incidental 41, Fred, Incidental 42, Dodo",Gary's Got Legs
"June 3, 2019",Alan Smart,,2019[note 1],,245b,,,,"""Plankton's Old Chum""","""Gary's Got Legs""",325-1212,"10 minutes, 52 seconds",12,"""Gary's Got Legs""",John Trabbic,,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,0.97,Kaz,"SpongeBob SquarePants, Eugene H. Krabs, Sheldon J. Plankton, Karen Plankton, Patrick Star, Gary the Snail, Sea chimps, Sea chimp king, Sea chimp child, Old sea chimp lady, Incidentals, Fred, Teen 15, The Takeoverer, King Neptune, Chum Bucket glove, Rube Goldfish",King Plankton
"November 30, 2019",Andrew Overtoom,,2019,,246a,,,,"""Stormy Weather""","""King Plankton""",325-1203,"11 minutes, 1 second",12,"""Stormy Weather""",Fred Osmond,,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:34 am,1.10,Kaz,"SpongeBob SquarePants, Sheldon J. Plankton, Karen Plankton, Patrick Star, Mrs. Puff, Squidward Tentacles, Eugene H. Krabs, Pearl Krabs, Gary the Snail, Unnamed purple fish, Health Inspector Andy Yellowtail, French Narrator, Sprat Morty, Incidentals, Incidental 118, Incidental 7, Incidental 42, Incidental 152, Incidental 64, Incidental 14, Incidental 47, Steven, Incidental 45, Incidental 9, Incidental 36, Teen 6, Teen 7, Teen B4, Teen B7, Winter inc, Ms. Mayor, Business fish",Plankton's Old Chum
"June 4, 2019",Tom Yasumi,,2019,,246b,,,,"""Swamp Mates""","""Plankton's Old Chum""",325-1219,"10 minutes, 56 seconds",12,"""Plankton's Old Chum""",Brian Morante,,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,0.97,Doug Lawrence,"SpongeBob SquarePants, Gary the Snail, Drizzle, Drizzle's parents, Drizzle Jr., Gale Doppler, Swordfish trucker, Incidentals, Incidental 64, Incidental 82, Carol, Charlie, Incidental 42, Incidental 14, Incidental 7, Incidental 48, Incidental 102BABY, Incidental 37A, Incidental 41, Incidental 46, Incidental 118, Dodo, Incidental 107, Incidental 31, Incidental 104, Incidental 18, Incidental 105, Incidental K1, Incidental 87, Snail 13, Incidental 2, Incidental 12, Incidental 49, Incidental 24, Old Man Walker, Incidental 36, Incidental 47, Fred",Stormy Weather
"February 25, 2020",Tom Yasumi,,2019,,247a,Martin Olson as The chief,,,"""One Trick Sponge""","""Stormy Weather""","['325-1208', '325-1236a', '325-1236c']","15 minutes, 43 seconds",12,"""One Trick Sponge""","['Benjamin Arcand', 'Mike Dougherty (opening)']",,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,0.89,Luke Brookshier,"SpongeBob SquarePants, Gary the Snail, Patrick Star, Bubble Bass, Mama Bass, Barnacle Boy, Mermaid Man, The chief, Anchor Man, Firejellies, Suburban dad, Swamp, Hoodoo Guru, Buford, Cletus, Luther, [5], Wonder Whale, Man Ray, Dirty Bubble, The Moth, Robot Mantis, Incidental 119",Swamp Mates
"April 11, 2020",Andrew Overtoom,,2019,,247b,,,,"""The Krusty Bucket""","""Swamp Mates""",325-1236b,"6 minutes, 16 seconds",12,"""Swamp Mates""",John Trabbic,,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:20 am,0.89,Doug Lawrence,"SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Mrs. Puff, Gary the Snail, Eugene H. Krabs, Sandy Cheeks, Bubble Bass, Buford, Luther, Cletus, Fred, Incidental 154",One Trick Sponge
"June 5, 2019",Tom Yasumi,,2019,,248a,,,,"""Squid's on a Bus""","""One Trick Sponge""",325-1204,"10 minutes, 58 seconds",12,"""Squid's on a Bus""",John Trabbic,,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.09,Doug Lawrence,"Eugene H. Krabs, Pearl Krabs, Sheldon J. Plankton, Karen Plankton, SpongeBob SquarePants, Squidward Tentacles, PlanKrab, Red PlanKrab, Green PlanKrab, Hairball, Administrator Flotsam, Colonel Carper, Scallop, Incidentals, Fred, Incidental 14, Incidental 41, Incidental 159",The Krusty Bucket
"August 14, 2019",Andrew Overtoom,,2019,,248b,Maurice LaMarche as the Bus driver,,,"""Sandy's Nutty Nieces""","""The Krusty Bucket""",325-1224,"10 minutes, 55 seconds",12,"""The Krusty Bucket""",Brian Morante,,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,1.28,Kaz,"SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Patrick Star, Bus driver, coin, Sweet old lady, Incidentals, Incidental 46, Fred, Incidental 64, Incidental 27, Incidental 49, Incidental 31, Mabel, Incidental 160, Man inc hat, Incidental 107, Scooter, Incidental 14, Incidental 40, Dale, Incidental 24, Incidental 105, Charlie, Incidental 102, Incidental 16, Incidental 60, Incidental 45, Incidental 36, Incidental 48, Incidental 13, Snail 13, Teen 15, Incidental 41, Grim Reaper",Squid's on a Bus
"June 6, 2019","['Michelle Bryan', 'Alan Smart']",,2019,,249a,"Maria Bamford as Macadamia, Hazelnut, and Pistachio",,,"""Insecurity Guards""","""Squid's on a Bus""","['325-1149 (formerly)', '325-1249']","10 minutes, 52 seconds",12,"""Insecurity Guards""",Fred Osmond,,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,0.94,Luke Brookshier,"SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Eugene H. Krabs, Sandy Cheeks, Macadamia, Hazelnut, Pistachio, Rosy Cheeks, Sheldon J. Plankton, Larry the Lobster, Sea bears, Anchovies, Incidentals, Fred, Incidental 82, Incidental 2, Incidental 27, Incidental 45, Charlie, Incidental 24, Scooter, Don the Whale, Incidental 39, Incidental 60, Incidental 41",Sandy's Nutty Nieces
"June 7, 2019",Tom Yasumi,,2019,,249b,,,,"""Broken Alarm""","""Sandy's Nutty Nieces""",325-1225,"10 minutes, 56 seconds",12,"""Sandy's Nutty Nieces""",John Trabbic,,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,0.94,Luke Brookshier,"SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Mrs. Puff, Eugene H. Krabs, Gary the Snail, Seahorse, Jellyfish, King Neptune, Robber, Woolly mollusk, Museum curator, Art restorer, Art critic, Incidentals, Incidental 8, Incidental 37A, Incidental 67, Incidental 69, Incidental 49, Incidental 45, Incidental 48, Incidental 41, Incidental G13, Incidental G2, Incidental 168, Incidental 92, Mary, Lenny, Harris, Incidental 64, Incidental 151, Incidental 104, Incidental 163, Incidental 118D, Incidental BB3, Incidental BB2, Incidental BB10, Incidental BB22, Monty P. Moneybags, Starfish mummy, Margie Star, Herb Star",Insecurity Guards
"July 6, 2019",Alan Smart,,2019,,250a,,,,"""Karen's Baby""","""Insecurity Guards""",325-1210,"10 minutes, 51 seconds",12,"""Karen's Baby""",Kelly Armstrong,,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,1.36,Ben Gruber,"SpongeBob SquarePants, Eugene H. Krabs, Squidward Tentacles, Patrick Star, SpongeTom, Gary the Snail, Bubble Bass, Incidentals, Incidental 6, Incidental 27, Incidental 42, Carol, Incidental 64, Incidental 12, Incidental 13, Fred, Old Man Walker, Incidental 37B, Don the Whale, Incidental 16, Loser 2, Charlie, Incidental 45, Incidental 114, Incidental 41, Incidental 49, Incidental 157, Incidental 103, Incidental 8, Incidental 48, Incidental 118C, Incidental 40, Incidental 90, Incidental 93, Incidental 30, Incidental 47, John, King Neptune, King Poseidon",Broken Alarm
"August 10, 2019",Andrew Overtoom,,2019,,250b,,,,"""Shell Games""","""Broken Alarm""",325-1205,"10 minutes, 59 seconds",12,"""Broken Alarm""",Kelly Armstrong,,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,1.09,Ben Gruber,"SpongeBob SquarePants, Karen Plankton, Sheldon J. Plankton, Chip I, Chip Plankton II, Eugene H. Krabs, French Narrator, Stork drone, Machine #1, Machine #2, Machine #3, Weird machine, Incidentals, Incidental 49, Incidental 103, Incidental 151, Incidental 107, Incidental 67, Incidental 160, Incidental 162, Teen 15, Incidental 161, Incidental 25, Incidental 104, Incidental 42, Billy, Incidental 106, Chum Bucket glove",Karen's Baby
"February 29, 2020",Tom Yasumi,,2019,,251a,Bobby Cannavale as Tony,,,"""Senior Discount""","""Karen's Baby""",325-1213,"10 minutes, 57 seconds",12,"""Senior Discount""",Fred Osmond,,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,0.80,Andrew Goodman,"Patrick Star, Squidward Tentacles, SpongeBob SquarePants, Larry the Lobster, Tattoo thug, Shark nerd, Reg, Mel, Tony, Incidentals, Incidental 24, Old Man Walker, Scooter, Incidental 45, Charlie, Incidental 160, Incidental 41, Incidental 103, Incidental 151, Incidental 152, Incidental 153, Lady turtle 1, Lady turtle 2",Shell Games
"July 6, 2019","['Michelle Bryan', 'Alan Smart', 'Tom Yasumi']",,2019,,251b,"John Gegenhuber as Old Man Jenkins, Very Old Man Jenkins Sr., Grandpa Jenkins, Great Grandpa Jenkins, and Old Man Jenkins' ancestors",,,"""Mind the Gap""","""Shell Games""",325-1226,11 minutes,12,"""Shell Games""",John Trabbic,,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.36,Andrew Goodman,"SpongeBob SquarePants, Eugene H. Krabs, Squidward Tentacles, Sheldon J. Plankton, Krabs family members, Krabs Senior, Redbeard Krabs, Great Grandpop Krabs, Great Great Grandpa Krabs, Great Great Great Grandpa Krabs, Krabs ancestors, Jenkins family members, Old Man Jenkins, Very Old Man Jenkins Sr., Grandpa Jenkins, Great Grandpa Jenkins, Great Great Grandpa Jenkins, Jenkins' ancestors, Customer, Incidentals, Incidental 151, Incidental 64, Incidental 2, Incidental 153, Incidental 103, Incidental CM20, Incidental 41, Incidental 104, Incidental 13, Incidental 118, Fred, Incidental 118C, Incidental 107, Incidental 42, Harold, Lenny, Incidental 106, Incidental 115, Incidental 60, Incidental 27, Scooter",Senior Discount
"July 29, 2019",Andrew Overtoom,,2019,,252a,,,,"""Dirty Bubble Returns""","""Senior Discount""",325-1209,"10 minutes, 44 seconds",12,"""Dirty Bubble Returns""",Brian Morante,,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.14,Doug Lawrence,"SpongeBob SquarePants, Squidward Tentacles, Incidentals, Incidental 67, Incidental 36, Incidental 41, Incidental 3, Incidental 48, Incidental 8, Incidental 7, ""CM"" incidentals, Incidental CM1, Incidental CM2, Incidental CM3, Incidental CM4, Incidental CM5, Incidental CM6, Incidental CM7, Incidental CM8, Incidental CM9, Incidental CM10, Incidental CM11, Incidental CM12, Incidental CM13, Incidental CM14, DJ, Incidental CM16, Incidental CM17, Incidental CM19, Incidental CM20, Incidental CM21, Incidental CM22, Incidental CM23, Incidental CM24, Incidental CM25, Unknown ""CM"" 1, Unknown ""CM"" 2, Unknown ""CM"" 3, Unknown ""CM"" 4, Bouncer, Maitre D, Patrick Star",Mind the Gap
"July 29, 2019",Tom Yasumi,,2019,,252b,,,,"""Jolly Lodgers""","""Mind the Gap""",325-1232,"10 minutes, 53 seconds",12,"""Mind the Gap""",Kelly Armstrong,,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,11:00 am,1.07,Doug Lawrence,"SpongeBob SquarePants, Margaret SquarePants, Patrick Star, Squidward Tentacles, Eugene H. Krabs, Realistic Fish Head, Dirty Bubble, Pirate captain, Popeye fish, Finback fish, Al Gristlepuss, Perch Perkins, Incidentals, Incidental 118D, Incidental 118, Incidental 118B, Incidental 118A, Incidental 13, Incidental 45, Incidental 64, Incidental 6, Charlie, Incidental 12, Incidental 27, Incidental 48, Fred, Troutenheimer, Old Man Walker, Dale, Incidental 7, Incidental 41, Incidental 151, Incidental 153, Incidental 14, Incidental 40, Incidental 65, Incidental 36, Sandals, Incidental 106, Incidental 92, Incidental 37A, Incidental 37B, Incidental 107, Incidental 42, Incidental 103, Incidental 97, Incidental 96, Incidental 16, Incidental 105, Incidental 15, Incidental 49, Incidental 168, Administrator Flotsam, Little girl, Teacher, twin sisters, Gary the Snail",Dirty Bubble Returns
"July 31, 2019",Andrew Overtoom,,2019,,253a,Charlie Adler as Boat salesman shark and Jelly hug geek,,,"""Biddy Sitting""","""Dirty Bubble Returns""",325-1237,"10 minutes, 59 seconds",12,"""Biddy Sitting""",John Trabbic,,Adam Paloian,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,0.80,Kaz,"SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Sea urchins, Boat salesman shark, Jellyfish, Big Lenny, Incidentals, Incidental 49, Incidental 27, Incidental 37B, Incidental 107, Incidental 60, Incidental 36, Incidental 9, Incidental 49A, Incidental 64, Lenny, Incidental 16, Incidental 91, Incidental 63, Incidental 11, Incidental 2, Mrs. Puff, Kevin C. Cucumber, Kevin C. Cucumber, Jellyspotters, Jeffrey the Jellyfish, Dr. Manowar, Geeks, Incidental G1, Incidental G2, Incidental G3, Incidental G4, Incidental G5, Incidental G6, Incidental G7, Incidental G9, Incidental G10, Incidental G11, Incidental G12, Incidental G13, Incidental G14, Incidental G15, Incidental G16, Incidental G17, Incidental G18, Incidental G19, Fred, Incidental 3, Incidental 4, Incidental 41, Incidental 40, Dodo, Incidental 24, Charlie, Incidental 30, Incidental 30A",Jolly Lodgers
"July 31, 2019","['Michelle Bryan', 'Alan Smart']",,2019,,253b,,,,"""SpongeBob's Big Birthday Blowout""","""Jolly Lodgers""",325-1231,11 minutes,12,"""Jolly Lodgers""",Mark Ackland,,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,11:15 am,0.94,Kaz,"SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Female spokesmodel, Incidentals, Dodo, Billy, Incidental 67, Fred, Incidental 64, Incidental 42, Incidental 6, Mary, Incidental 94, Incidental 93, Incidental 24, Incidental 107, Dale, Frank, Sandals, Incidental 47, Incidental 45, Incidental 49, Incidental 60, Harris, Incidental 104, Baby Prunes, Bakery fish, Gramma, Sweet old lady, French Narrator, Awesome Eddie, Big G, Twitch",Biddy Sitting
